Time,Time Code,Country Name,Country Code,CO2 emissions (kt),Fossil fuel energy consumption (% of total),GDP growth (annual %),Population growth (annual %),Renewable energy consumption (% of total final energy consumption),Total greenhouse gas emissions (kt of CO2 equivalent)
1985,YR1985,Canada,CAN,0,75.4065927,4.737399892,0.913774275,0,0
1985,YR1985,United States,USA,0,88.30166868,4.169656223,0.886129041,0,0
1985,YR1985,India,IND,0,47.22557302,5.254299223,2.248362401,0,0
1985,YR1985,Afghanistan,AFG,0,0,0,2.587696933,0,0
1985,YR1985,Germany,DEU,0,87.92519035,2.327935262,-0.223489902,0,0
1985,YR1985,France,FRA,0,64.33921912,1.622781367,0.52017357,0,0
1985,YR1985,Denmark,DNK,0,94.91503626,4.003751815,0.040526889,0,0
1985,YR1985,Saudi Arabia,SAU,0,99.99360346,-9.794502265,4.602955823,0,0
1985,YR1985,Israel,ISR,0,97.25663732,0,1.763630078,0,0
1985,YR1985,United Kingdom,GBR,0,91.89555163,4.147415038,0.226951225,0,0
1986,YR1986,Canada,CAN,0,73.56401829,2.14497207,0.994040151,0,0
1986,YR1986,United States,USA,0,87.65663266,3.462645971,0.924164157,0,0
1986,YR1986,India,IND,0,48.25300177,4.776564168,2.235271247,0,0
1986,YR1986,Afghanistan,AFG,0,0,0,-0.608560873,0,0
1986,YR1986,Germany,DEU,0,88.65357083,2.287339221,0.045768064,0,0
1986,YR1986,France,FRA,0,61.28573804,2.33727635,0.521885254,0,0
1986,YR1986,Denmark,DNK,0,94.7566271,4.904178355,0.133727781,0,0
1986,YR1986,Saudi Arabia,SAU,0,99.98078161,17.01274626,4.498469301,0,0
1986,YR1986,Israel,ISR,0,97.05522124,0,1.547147598,0,0
1986,YR1986,United Kingdom,GBR,0,92.06996551,3.150340552,0.23161023,0,0
1989,YR1989,Canada,CAN,0,75.05195139,2.316979311,1.794193515,0,0
1989,YR1989,United States,USA,0,87.09328724,3.67264815,0.944405555,0,0
1989,YR1989,India,IND,0,52.81420226,5.947343332,2.169217481,0,0
1989,YR1989,Afghanistan,AFG,0,0,0,2.751877293,0,0
1989,YR1989,Germany,DEU,0,86.45118434,3.896551692,0.773336991,0,0
1989,YR1989,France,FRA,0,58.84821173,4.343861063,0.509604919,0,0
1989,YR1989,Denmark,DNK,0,88.61327836,0.645187432,0.059987665,0,0
1989,YR1989,Saudi Arabia,SAU,0,99.98052376,-0.503015881,4.254562794,0,0
1989,YR1989,Israel,ISR,0,97.26679233,0,1.696469257,0,0
1989,YR1989,United Kingdom,GBR,0,89.92769081,2.577602798,0.26031145,0,0
1990,YR1990,Canada,CAN,419492.2,73.60549156,0.164672497,1.507660673,22.53,543049.4519
1990,YR1990,United States,USA,4844517.4,86.43783832,1.885964957,1.12965052,4.18,5855541.47
1990,YR1990,India,IND,563575.4,53.76395973,5.533454561,2.141140539,52.95,1237962.799
1990,YR1990,Afghanistan,AFG,2046.87,0,0,0.202433956,23,11630.79506
1990,YR1990,Germany,DEU,955307.7,86.83788464,5.255006083,0.861969449,2.1,1129742.508
1990,YR1990,France,FRA,356297.9,58.15395849,2.923935081,0.480817154,10.54,496236.894
1990,YR1990,Denmark,DNK,51978,89.59051862,1.475244277,0.16245632,7.05,69121.51836
1990,YR1990,Saudi Arabia,SAU,171403.3,99.97888612,15.19342589,4.156068549,0.04,239708.4155
1990,YR1990,Israel,ISR,33805.9,97.00507659,0,3.094603009,5.8,44103.52689
1990,YR1990,United Kingdom,GBR,561774.5,90.65258583,0.73375554,0.298930554,0.65,749506.1766
